Nome,Descrição,Latitude,Longitude,Categoria
Ain Soph Ginza,19:00-20:30 | 100% Vegan | ¥1500-2500 | Tel: +81-3-6228-6714 | Panquecas veganas | Pudim japonês vegano | Tiramisu | 1º andar: patisserie 2º andar: restaurant,35.671389,139.765278,Restaurantes
Tokyo Vegan Ramen Center,12:00-13:30 | Cooking class + almoço | ¥5000-8000 | Tel: +81-3-6457-5100 | Reserva: 1-2 semanas | Ramen GIGANTE com vegetais inteiros | Sushi vegano que você faz,35.689444,139.700833,Restaurantes
Vegan Bistro Jangara,19:00-20:30 | Vegan ramen | ¥1200-1800 | Buffalo chicken vegano tangy e spicy | Karabun tonkatsu ramen picante | Mentaiko vegano | FILAS LONGAS mas vale a pena,35.694444,139.766667,Restaurantes
Plus Veganique Jiyugaoka,19:00-20:30 | 100% Vegan orgânico | ¥2500 | Buffet e pratos à la carte | Gluten-free | Prato antipasto vegano | Horário: Qua-Seg Lunch 12:00-15:00 Dinner 17:00-23:00,35.607778,139.668056,Restaurantes
Luxury Dessert Mall - Vegan Vendor,12:00-13:30 | ¥1000-2000 | Mall com andar inteiro de sobremesas premium | Vendor 100% vegano | Matcha cheesecake vegano INCRÍVEL,35.670833,139.767222,Restaurantes
Bon - Vegan Kaiseki,17:00-19:00 | 100% Vegan fine dining | ¥5000-8000 | Experiência vegan kaiseki tradicional | Ambiente em tatami | Reserva: pelo menos 1 semana antecedência,35.665833,139.705556,Restaurantes
Vampire Café,Atlas Obscura: Um gosto do macabro no distrito de compras sofisticado de Tokyo. Coberto de parede a parede com veludo vermelho decorado com toque mórbido. Garçons em smoking garçonetes em uniformes de empregada francesa. Chão vermelho coberto com células sanguíneas. Aperitivos vermelho escuro guarnecidos com minúsculas caveiras. Luz de velas sobre caixões. Música barroca. Localizado no 7º andar em Ginza,35.671111,139.763889,Restaurantes
8bit Cafe,Atlas Obscura: Transporte-se para a era dos videogames dos anos 1980. No 5º andar de prédio discreto em Shinjuku Sanchome. Repleto de jogos e acessórios de Mario a Power Gloves Virtual Boy. Você pode jogar qualquer jogo enquanto bebe drink temático de personagens. Aberto 18h-meia-noite seg qua qui dom. 18h-5h sex. 18h-1:30 sáb. Fecha terça,35.689722,139.708333,Restaurantes
Harukor,Atlas Obscura: Único restaurante Ainu de Tokyo serve comida indígena do norte do Japão. Aberto em 2011 por Teruyo Usa. De 150000 restaurantes em Tokyo Harukor é o único servindo pratos feitos pelos Ainu minoria indígena de Hokkaido. Ingredientes: veado salmão vegetais selvagens de Hokkaido. Menu com explicações incluindo seção de pukusa/kitopiro (cebola selvagem Ainu). Usa canta e toca tonkori (instrumento de cordas Ainu),35.701111,139.700556,Restaurantes
Café Paulista,Atlas Obscura: Luminares de Albert Einstein a John Lennon tomaram café no café mais antigo de Tokyo. Fundado em 1911 em Ginza. Distinguiu-se com foco no café em vez de lanches e bebidas alcoólicas. Einstein visitou filial de Hakata em 1922. Frequentado por Ryūnosuke Akutagawa Raichō Hiratsuka Bunroku Shishi. Fechou após terremoto de 1923. Renasceu em 1970. Localizado no Nagasaki Centre Building em Ginza,35.669167,139.765278,Restaurantes
